id;type;destination;message;is_read
1;USER_FOLLOWED;materialise lest;baggy wonderfully verb;true
2;POST_LIKE;aboard;deliberately;true
3;USER_FOLLOWED;vascular atop voluntarily;meanwhile oof slipper;false
4;USER_FOLLOWED;next;noodles burdensome limited;false
5;POST_LIKE;trusting lay;hastily via client;false
6;USER_FOLLOWED;uh-huh boo a;brr wasteful;true
7;USER_FOLLOWED;reappoint dolor someone;till;true
8;USER_FOLLOWED;vice subdued oof;after;true
9;POST_LIKE;merrily elite about;smug enforcement for;false
10;POST_COMMENT;hard-to-find;mockingly pace;false
